id,id_andinist,id_ascent
1,18,1
2,19,1
3,27,2
4,28,2
5,28,3
6,30,4
7,31,4
8,37,6
9,37,7
10,37,8
11,37,9
12,37,10
13,38,7
14,39,5
15,39,15
16,40,5
17,41,5
18,42,5
19,43,5
20,44,5
21,45,5
22,50,7
23,50,8
24,50,9
25,51,10
26,52,11
27,53,11
28,54,12
29,55,12
30,56,12
31,54,13
32,55,13
33,56,13
34,68,14
35,71,16
36,72,16
37,73,16
38,78,17
39,79,9
40,79,17
41,82,18
42,82,19
43,82,22
44,83,18
45,83,54
46,84,18
47,84,27
48,84,34
49,84,35
50,84,43
51,87,19
52,87,24
53,87,27
54,87,34
55,87,35
56,87,115
57,87,120
58,88,19
59,89,19
60,90,20
61,91,20
62,93,21
63,94,22
64,95,22
65,96,22
66,97,23
67,97,25
68,98,23
69,98,25
70,99,23
71,99,25
72,100,23
73,100,25
74,101,24
75,102,26
76,103,26
77,104,28
78,105,28
79,106,29
80,106,30
81,106,31
82,106,38
83,106,40
84,107,29
85,107,30
86,107,31
87,110,32
88,110,33
89,111,48
90,112,32
91,112,33
92,113,34
93,129,35
94,129,43
95,130,36
96,130,37
97,130,44
98,131,36
99,131,37
100,131,41
101,131,44
102,131,51
103,131,59
104,132,36
105,132,37
106,132,41
107,132,51
108,133,38
109,133,40
110,133,47
111,133,55
112,134,39
113,135,39
114,135,122
115,135,137
116,135,168
117,140,42
118,141,42
119,145,43
120,154,44
121,154,52
122,154,59
123,154,74
124,155,44
125,156,45
126,156,50
127,156,115
128,156,120
129,157,45
130,157,50
131,157,115
132,157,120
133,158,46
134,161,48
135,162,49
136,163,49
137,163,64
138,163,67
139,163,79
140,163,92
141,163,93
142,163,96
143,164,49
144,165,49
145,166,49
146,167,49
147,168,50
148,168,52
149,168,53
150,168,63
151,168,65
152,168,66
153,168,81
154,168,90
155,168,91
156,168,94
157,168,98
158,172,52
159,172,63
160,172,65
161,172,66
162,173,52
163,174,53
164,175,53
165,175,65
166,175,66
167,176,54
168,176,69
169,176,78
170,176,86
171,176,99
172,176,100
173,176,101
174,176,109
175,176,116
176,176,117
177,176,118
178,176,124
179,176,126
180,176,127
181,176,145
182,176,169
183,176,182
184,176,184
185,176,219
186,176,225
187,176,227
188,176,235
189,176,237
190,176,251
191,177,54
192,178,55
193,179,56
194,180,56
195,180,86
196,181,56
197,181,86
198,182,57
199,183,57
200,183,62
201,184,58
202,185,58
203,185,82
204,186,60
205,186,68
206,186,71
207,186,75
208,186,106
209,186,125
210,186,128
211,186,130
212,186,141
213,186,142
214,186,143
215,187,60
216,187,68
217,187,69
218,187,71
219,187,75
220,187,83
221,187,84
222,187,102
223,187,109
224,187,124
225,187,126
226,187,127
227,187,145
228,187,161
229,188,60
230,189,104
231,191,70
232,191,72
233,191,76
234,191,161
235,192,61
236,193,62
237,194,64
238,194,67
239,194,68
240,194,69
241,194,71
242,194,72
243,194,75
244,194,79
245,194,83
246,194,84
247,194,99
248,194,100
249,194,101
250,194,109
251,194,116
252,194,117
253,194,118
254,194,124
255,194,126
256,194,127
257,194,145
258,194,166
259,194,167
260,194,169
261,194,175
262,194,177
263,194,182
264,195,68
265,195,72
266,195,82
267,195,92
268,195,93
