ID,file_id,name
1,E076R,El Ingenio
2,F044R,Lagunas de Teno
3,F36R,Termas del Flaco
4,F35R,Sierras de Bellavista
5,F27R,Alto de los Arrieros
6,F26R,Rio Clarillo
7,F017R,Rio Cortaderal
8,F016R,Lag Cauquenes
9,F009R,Vn Maipo
10,F08R,Cerro Catedral
11,F007R,Sewell
12,E78R,Vn San Jose
13,E77R,El Volcan
14,E69R,Rio Yeso
15,E68R,Embalse Yeso
16,E067R,San Jose de Maipo
17,E61R,Tupungato
18,E60R,Rio Olivares
19,E59R,Farellones
20,E054R,Polleras
21,E53R,Cordon Piuquenes
22,E52R,La Disputada
23,E46R,Portillo
24,E045,Rio Blanco
25,E39R,Rio Leones
26,E038,Rio Colorado
27,F18R,Paso Las Leñas
