ID,nom_id,revision_code,name,altitude_igm,latitude_south,longitude_west,observations,comment,igm_rectangle_id,mountain_id
1,El Ingenio_1,1,Morro El Pangal,2575,33º 45' 42'',70º 19' 48'',,,1,1
2,El Ingenio_2,2,San Pedro Nolasco,3177,33º 48' 21'',70º 19' 12'',,,1,2
3,El Ingenio_3,3,Euskadi,3615,33° 51' 18'',70° 20' 46'',"Info de SGIM; Primera Ascension 1956 por vascos residentes en Chile; ver foto de cumbre (cordada, 15C_44/UL)",,1,3
4,El Ingenio_4,4,La Carlota,3563,33º 51' 21'',70º 18' 45'',,,1,4
5,El Ingenio_5,5,P2856,2856,33º 51' 31'',70º 28' 18'',,,1,5
6,El Ingenio_6,6,Los Cristales,3057,33º 51' 42'',70º 26' 22'',,,1,6
7,El Ingenio_7,7,Santa Rita,3533,33º 52' 08'',70º 16' 40'',,,1,7
8,El Ingenio_8,8,P3558,3558,33º 54' 14'',70º 21' 39'',,,1,8
9,El Ingenio_9,9,P3760,3760,33º 54' 41'',70º 18' 04'',,,1,9
10,El Ingenio_10,10,de la Punta,3702,33º 57' 02'',70º 20' 46'',,,1,10
11,El Ingenio_11,11,Alto Rodcillo?,2778,33º 56' 55'',70º 28' 29'',,,1,11
12,El Ingenio_12,12,P3669,3669,33º 58' 00'',70º 17' 21'',,,1,12
13,El Ingenio_13,13,P3935,3935,33º 59' 46'',70º 17' 02'',,,1,13
14,Lagunas de Teno_1,1,El Horno,3715,35º 00' 57'',70º 21' 47'',,,2,14
15,Lagunas de Teno_2,2,Alto de Cayetano,2878,35º 00' 36'',70º 38' 22'',,,2,15
16,Lagunas de Teno_4,4,P3478,3478,35º 02' 12'',70º 24' 14'',,,2,16
17,Lagunas de Teno_5,5,P3621,3621,35º 03' 10'',70º 22' 22'',,,2,17
18,Lagunas de Teno_6,6,Torre Santa Elena,3845,35º 04' 45'',70º 22' 18'',,,2,18
19,Lagunas de Teno_8,8,Alto de las Lajas,2866,35º 05' 19'',70º 41' 27'',,,2,19
20,Lagunas de Teno_11,11,Cordon Caletas,3257,35º 08' 24'',70º 33' 33'',,,2,20
21,Lagunas de Teno_12,12,Villagra,3265,35º 11' 54'',70º 28' 09'',,,2,21
22,Lagunas de Teno_15,15,Morro El Planchon,3977,35º 12' 58'',70º 34' 11'',,,2,22
23,Lagunas de Teno_16,16,Vn Planchon,3920,35º 13' 10'',70º 33' 58'',,,2,23
24,Termas del Flaco_1,1,"Sierra de San Hilario
(Sector Suroeste)",3869,34º 45' 55'',70º 23' 09'',,,3,24
25,Termas del Flaco_2,2,"Sierra de San Hilario
(Sector Noreste)",3840,34º 45' 13'',70º 22' 11'',,,3,25
26,Termas del Flaco_3,3,P4670,4670,34º 45' 58'',70º 18' 38'',Nombre ?,,3,26
27,Termas del Flaco_4,4,Punta Rosita,4136,34º 46' 10'',70º 20' 51'',,,3,27
28,Termas del Flaco_5,5,Alto del Azufre,4691,34º 46' 07'',70º 19' 12'',,,3,28
29,Termas del Flaco_6,6,Puntilla I del Azufre,4508,34º 46' 40'',70º 19' 26'',"Cinco Puntillas, entre el Alto del Azufre y el Volcan Tinguiririca; muy mala roca ! Orientacion de Norte a Sur; Ver datos segun FEACh (Elvis Acevedo), escaneo 0005 ",,3,29
30,Termas del Flaco_7,7,Puntilla II del Azufre,4516,34º 47' 01'',70º 19' 25'',,,3,30
31,Termas del Flaco_8,8,Puntilla III del Azufre,4508,34º 47' 07'',70º 19' 26'',,,3,31
32,Termas del Flaco_9,9,Puntilla IV del Azufre,4538,34º 47' 13'',70º 19' 25'',,,3,32
33,Termas del Flaco_10,10,Puntilla V del Azufre,4463,34º 47' 31'',70º 19' 26'',"Eleccion de cumbres fué arbitraria: se eligieron las cinco cumbres más altas (excepcion: Puntilla V); segun los primeros ascensionistas, Puntilla III sería la más baja",,3,33
34,Termas del Flaco_11,11,Moño,4699,34º 47' 45'',70º 14' 49'',Cumbre fronteriza / Nombre ?,,3,34
35,Termas del Flaco_12,12,P4495,4495,34º 48' 06'',70º 15' 08'',Cumbre fronteriza / Nombre ?,,3,35
36,Termas del Flaco_13,13,P4455,4455,34º 48' 49'',70º 15' 18'',Cumbre fronteriza / Nombre ?,,3,36
37,Termas del Flaco_14,14,Volcan Tinguiririca,4280,34º 48' 54'',70º 20' 56'',,,3,37
38,Termas del Flaco_15,15,Volcan Monserrat,4230,34º 48' 07'',70º 20' 30'',,,3,38
